row_variable,column_variable,correlation_type,control_variables,partial_correlation,p_value,sample_size,abs_correlation,data_level,p_fdr_corrected,significant_fdr,significant_uncorrected
valence,age,partial,"onoff, time, selfother, confidence",0.0881221691134405,0.5988183600665347,42,0.0881221691134405,subject,0.6736706550748516,False,False
PC1,sris,partial,"onoff, valence, time, selfother, confidence",-0.08388375399907112,0.659426108330745,35,0.08388375399907112,subject,0.7280911627506484,False,False
confidence,age,partial,"onoff, valence, time, selfother",0.08138121259201725,0.6271683728018388,42,0.08138121259201725,subject,0.7702841079529557,False,False
time,rrs_tot,partial,"onoff, valence, selfother, confidence",0.07507334145732161,0.6587758380503906,41,0.07507334145732161,subject,0.9056997205126674,False,False
confidence,fne,partial,"onoff, valence, time, selfother",-0.07163127173751194,0.6735337767812606,41,0.07163127173751194,subject,0.7702841079529557,False,False
PC1,ctq_tot,partial,"onoff, valence, time, selfother, confidence",0.07161746221774688,0.7280911627506484,31,0.07161746221774688,subject,0.7280911627506484,False,False
onoff,rrs_tot,partial,"valence, time, selfother, confidence",-0.06985599523421711,0.68119298841421,41,0.06985599523421711,subject,0.9960420934158607,False,False
confidence,self-esteem,partial,"onoff, valence, time, selfother",0.0690462666929403,0.6846969848470716,41,0.0690462666929403,subject,0.7702841079529557,False,False
PC2,ctq_tot,partial,"onoff, valence, time, selfother, confidence",-0.06683186542330412,0.7456502969051787,31,0.06683186542330412,subject,0.7456502969051787,False,False
time,self-esteem,partial,"onoff, valence, selfother, confidence",-0.0645128263343643,0.7044331159542969,41,0.0645128263343643,subject,0.9056997205126674,False,False
PC2,sris,partial,"onoff, valence, time, selfother, confidence",-0.0629962028442836,0.7408623094782261,35,0.0629962028442836,subject,0.7456502969051787,False,False
PC2,onoff,partial,"valence, time, selfother, confidence",0.05424864974505197,0.07501285585912797,1082,0.05424864974505197,probe,0.12502142643187994,False,False
valence,sris,partial,"onoff, time, selfother, confidence",-0.053857214065779806,0.7515574335289236,41,0.053857214065779806,subject,0.7515574335289236,False,False
PC3,onoff,partial,"valence, time, selfother, confidence",0.044413613465208626,0.14504586735737365,1082,0.044413613465208626,probe,0.14504586735737365,False,False
onoff,self-esteem,partial,"valence, time, selfother, confidence",-0.04159810235245475,0.8068804545016688,41,0.04159810235245475,subject,0.9960420934158607,False,False
PC2,confidence,partial,"onoff, valence, time, selfother",-0.038131142768093394,0.21094949083838008,1082,0.038131142768093394,probe,0.2636868635479751,False,False
PC3,rrs_tot,partial,"onoff, valence, time, selfother, confidence",-0.033316113425687494,0.8612570135816822,35,0.033316113425687494,subject,0.9260681908787446,False,False
selfother,a_rsq,partial,"onoff, valence, time, confidence",-0.0326975484538961,0.8476512007614246,41,0.0326975484538961,subject,0.926547632037158,False,False
confidence,a_rsq,partial,"onoff, valence, time, selfother",-0.030122932504077424,0.8595227573505579,41,0.030122932504077424,subject,0.8595227573505579,False,False
onoff,fne,partial,"valence, time, selfother, confidence",0.026957134038890704,0.8741617305982454,41,0.026957134038890704,subject,0.9960420934158607,False,False
PC3,mwq,partial,"onoff, valence, time, selfother, confidence",-0.02618056404837654,0.8907723444038421,35,0.02618056404837654,subject,0.9260681908787446,False,False
PC3,a_rsq,partial,"onoff, valence, time, selfother, confidence",-0.022661056641430692,0.9053857139134023,35,0.022661056641430692,subject,0.9260681908787446,False,False
PC3,fne,partial,"onoff, valence, time, selfother, confidence",-0.017692037934742277,0.9260681908787446,35,0.017692037934742277,subject,0.9260681908787446,False,False
time,bdi,partial,"onoff, valence, selfother, confidence",0.01571784749125216,0.9264342547085773,41,0.01571784749125216,subject,0.9296326020444673,False,False
selfother,fne,partial,"onoff, valence, time, confidence",0.015693557820256016,0.926547632037158,41,0.015693557820256016,subject,0.926547632037158,False,False
time,mwq,partial,"onoff, valence, selfother, confidence",-0.015032757360960918,0.9296326020444673,41,0.015032757360960918,subject,0.9296326020444673,False,False
onoff,ctq_tot,partial,"valence, time, selfother, confidence",0.014475988640175195,0.9405884671740219,33,0.014475988640175195,subject,0.9960420934158607,False,False
PC2,valence,partial,"onoff, time, selfother, confidence",0.01351686455305207,0.6575463185716566,1082,0.01351686455305207,probe,0.6575463185716566,False,False
time,confidence,partial,"onoff, valence, selfother",0.00444037022654174,0.8258789799482736,2460,0.00444037022654174,probe,0.8258789799482736,False,False
confidence,time,partial,"onoff, valence, selfother",0.004440370226541334,0.8258789799482893,2460,0.004440370226541334,probe,0.8258789799482893,False,False
onoff,sris,partial,"valence, time, selfother, confidence",-0.0008444906416630928,0.9960420934158607,41,0.0008444906416630928,subject,0.9960420934158607,False,False
